trial,dir_require_prior_trend,long_only,method,normalize_strength,roc1_months,roc2_months,stop_loss_pct,strength_window,sustain_days,take_profit_pct,trailing_stop_pct,trend_strength_threshold,wma_lookback,zc_require_prior_state,zc_sustain_days,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
31,False,True,directional,False,8.0,2.0,0.07754019711766262,252.0,5.0,0.1837168555519584,0.027856021061541655,0.39287861416990666,4.0,False,4.0,0.32580170349015924,0.33913618604357326,2.081999317513507,2.4325680634172784,3.7473432993296205,1.4463932486401034,0.5955565582049049,3.5979856372963206,-0.11324648744888648,79.2,0.15209609105501426,0.040426035884172935,1.5761843512173215,0.48383229527374877,1.5761843512173215,0.0,-1.5761843512173215
32,False,True,directional,False,7.0,1.0,0.06926563955696693,315.0,5.0,0.054887477502681914,0.04362391233602059,0.18382335371467368,5.0,False,5.0,0.4006655257146896,0.4174469144187622,2.266472274976129,2.871077755769991,4.788338495857635,1.4946896199737154,0.5947694571685135,4.598652762686624,-0.10809871991687754,66.6,0.15809432035103596,0.03810239873107396,1.6824771774190714,0.4872692220065417,1.6824771774190714,0.0,-1.6824771774190714
33,False,True,directional,False,8.0,2.0,0.097391401729922,378.0,3.0,0.12378032602978484,0.03459009996750702,0.25851019865676195,4.0,False,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
34,False,True,directional,False,7.0,3.0,0.05751580754047349,315.0,5.0,0.0979727555813097,0.026880349186897395,0.3416061506085023,5.0,False,4.0,0.3861609536426887,0.4020167945643175,2.142813665459549,2.6527330358724646,4.958790358016297,1.473749034838913,0.5887703614276609,4.763224627953397,-0.1030836676257509,74.6,0.1591162924110637,0.03649832183633826,1.6518703226248828,0.4873177463040149,1.6518703226248828,0.0,-1.6518703226248828
35,False,True,directional,False,8.0,1.0,0.10698185296622836,378.0,2.0,0.06505079745726426,0.06224024405689488,0.5598362447784296,3.0,False,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
36,False,False,directional,False,6.0,6.0,0.04856984063440335,252.0,3.0,0.25770946336068556,0.04755872406027033,0.49443014471909896,4.0,False,5.0,-0.011463154230169548,-0.011734266221395085,-0.29233405618583796,-0.3892986828601685,0.014918445300331018,0.9865166663790015,0.4868417197854962,0.03154625156684867,-0.13186232612766075,224.0,0.07296816381651097,0.0785795743542004,0.039293377734601884,0.4906764318485476,-0.49245265401142985,0.5317460317460317,0.49245265401142985
37,False,True,directional,False,4.0,2.0,0.03790733721833474,315.0,5.0,0.17793242410430343,0.02042949661077606,0.20779010229292644,3.0,False,4.0,0.5869111054111876,0.3875669153163755,2.069963050388658,2.244545013799549,3.614301266290107,1.4505170972022046,0.612424558634846,5.489314206524893,-0.12563796893363435,125.4,0.15683411312965093,0.04817473708651243,1.617364339407326,0.48363821952080277,1.4768881489311356,0.1404761904761905,-1.4768881489311356
38,True,True,zero_crossing,False,7.0,2.0,0.08725863832186286,252.0,3.0,0.12946498165935608,0.03229648811451209,0.27718767433285546,5.0,False,5.0,0.17270467025793007,0.18256177253713524,0.773277289268169,1.0542912143522603,1.0598957586501168,1.2736503627531761,0.20341485460375236,1.0074633983654668,-0.16675785327243747,129.6,0.22540057247938244,0.07558122473851007,0.6073495825037544,0.4710973516238912,0.45020672536089723,0.1571428571428571,-0.45020672536089723
39,False,False,directional,False,8.0,1.0,0.12301377349321702,441.0,2.0,0.14647581138313318,0.023759426553876663,0.5778822226523052,3.0,False,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
40,False,True,directional,False,5.0,3.0,0.07430886691705108,315.0,3.0,0.20663457134027802,0.038956587086399,0.3344367054312102,4.0,False,5.0,0.49701278174653163,0.38891918930281466,2.127902613563706,2.413386249228073,3.495998207700052,1.4510078486096323,0.614161056733899,4.481240676229094,-0.12150107528231482,95.4,0.15492665908586645,0.04099831879961384,1.616854417242393,0.4871834079175411,1.5954258458138217,0.02142857142857145,-1.5954258458138217
41,True,True,zero_crossing,False,2.0,1.0,0.04515492612648608,315.0,2.0,0.17034711999641255,0.04696499374570932,0.18314761484486766,5.0,False,4.0,0.02650229686157788,0.007771867824419276,0.13238286339173605,0.19465121347081818,0.4183729965423022,1.065907594247387,0.30349281589811566,0.6326690954356037,-0.2734460731078118,221.8,0.22956677528232863,0.14410048895517255,0.28714732619305416,0.4781776486254605,-0.23586854682281888,0.523015873015873,0.23586854682281888
42,False,False,directional,False,6.0,2.0,0.06800909810735167,378.0,5.0,0.22083557956595207,0.03150443054454873,0.40665681672977216,4.0,False,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
43,True,True,zero_crossing,False,4.0,3.0,0.05402347897963577,378.0,4.0,0.19417307975213313,0.05844429769410997,0.4937178037770381,3.0,False,4.0,0.25923745157545663,0.18069002398544637,0.8632110973827494,0.9242812950731081,1.1681993326560907,1.2798994622874842,0.21236953863213168,1.6718155028597022,-0.14888869861913404,148.8,0.20360350609052644,0.0689662490218765,0.6532644443634872,0.5053327874102544,0.4199311110301538,0.23333333333333336,-0.4199311110301538
44,False,True,directional,False,7.0,2.0,0.08128179470493131,315.0,3.0,0.11725165507905012,0.0771882436829445,0.3082503930858372,5.0,True,5.0,0.40593615004154965,0.42260070995640187,2.271781995827868,2.840109872415222,5.268675975077903,1.4968506820202028,0.5963920275496438,5.064119149015582,-0.0997823404998655,66.8,0.15690107759652694,0.036040384555522546,1.7024321166916483,0.48798527985839374,1.7024321166916483,0.0,-1.7024321166916483
45,False,False,zero_crossing,False,8.0,1.0,0.09418491207992812,252.0,5.0,0.0820900156557037,0.053862523005735505,0.44117935561098254,4.0,False,2.0,0.11084260052344508,0.11708313064402105,0.5558056774707898,0.7945766722243555,0.7263853797953355,1.124937224178193,0.34887881369901247,0.6896562277776056,-0.2072390629828064,151.4,0.24095999493041315,0.11544988825275841,0.6224284282884927,0.47953729412948115,0.378777634637699,0.24365079365079367,-0.378777634637699
46,True,True,directional,True,6.0,5.0,0.034725062764780885,315.0,4.0,0.23217462262491612,0.02371006442021346,0.3768646348991063,5.0,True,4.0,0.3619835952230626,0.3377627868435297,1.2566812848685245,2.0271233102788893,3.9014253804527628,1.3272877715124727,0.4829585126659615,4.178574764840581,-0.17321796186397037,116.2,0.2387671795175646,0.08476264393309514,1.3018921792737128,0.48317193850983964,1.1979239253054588,0.10396825396825397,-1.1979239253054588
47,False,False,directional,False,5.0,3.0,0.11522937629581351,441.0,2.0,0.13525743979876992,0.038715411123910776,0.32153830302919,3.0,False,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
48,False,True,zero_crossing,True,7.0,2.0,0.13488658921320099,378.0,4.0,0.06774375497853656,0.05176680439968584,0.26238879289838657,4.0,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
49,True,True,directional,False,8.0,1.0,0.05184505959238806,252.0,4.0,0.0942873494470811,0.03069380130669557,0.46599794185990906,5.0,False,3.0,0.06446901344809504,0.0740944519731869,0.46345858684277913,0.5651170435893335,0.3964663424716664,1.0961779268800662,0.45651242467820863,0.3456022029672254,-0.2467980268467281,133.4,0.21491013942037873,0.11110780048998145,0.4820903885029756,0.4916308647844426,0.3098681662807533,0.17222222222222225,-0.3098681662807533
