trial,d_period,k_period,long_only,overbought,oversold,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
26,4.0,12.0,False,79.0,19.0,0.039925434557042366,0.06380656851325002,0.06744849544548574,0.6517841598431027,0.2891368201147063,1.2938106943596335,1.9705314207377735,2.0461764716249933,1.2668060083830064,0.5232378118496559,4.6930169143367,-0.21648201959588934,157.4,0.22786691912237017,0.08279371030356475,1.2812982248819762,0.5124418336386741,1.0138379074216588,0.2674603174603175,-1.0138379074216588
27,7.0,9.0,True,87.0,20.0,0.04899745814377088,0.048304429129186276,0.0,0.6240805424322242,0.25052686181498196,0.9666986488468179,1.151606891422026,2.1829927178694186,1.3888179957670945,0.24729597101267037,5.638177935983688,-0.27806354910060865,237.0,0.2665409364073697,0.12667595482862556,0.8216900213235402,0.5093643799765293,0.23835668799020682,0.5833333333333334,-0.23835668799020682
28,2.0,10.0,False,85.0,23.0,0.06649659377528506,0.09545991719838504,0.0,0.24892755214144807,0.10165913234967186,0.6299985541280985,0.9998916140665106,1.0480360695491242,1.1333342498141703,0.5167723047934254,2.4326238553366064,-0.28441920673452314,288.0,0.20610022881927467,0.16251196096212955,0.8862500340147265,0.5097368803972492,0.10053574830044076,0.7857142857142857,-0.10053574830044076
29,3.0,12.0,True,83.0,19.0,0.0582539897228321,0.07287109225399574,0.05347116036987524,1.131278207793698,0.4555975203309486,1.603958987581852,2.215754420709557,3.474430794132087,1.4117976685987905,0.4237017120477825,8.817785841886254,-0.20101605353615923,141.8,0.24688819780252597,0.07657732289189678,1.3202880881364258,0.5093889022212283,1.1147325325808701,0.2055555555555556,-1.1147325325808701
30,2.0,12.0,True,79.0,19.0,0.05493823182036288,0.09018187231884259,0.055333714468251013,0.9166830973878494,0.3938946586770216,1.3990516703475198,1.669974654443719,1.5927299766207492,1.3312052657871285,0.472251169654,3.733631941735846,-0.26886874930347593,194.2,0.2600859784765247,0.10081935890458844,1.1815707786088188,0.5107418801369441,0.7680787151167553,0.41349206349206347,-0.7680787151167553
31,3.0,19.0,True,85.0,30.0,0.025712794178558523,0.10984267556051899,0.05224072847151282,0.8391662328676276,0.37333243110669606,1.4139093258913218,1.8108825722766113,2.0029080400644474,1.3391156192663205,0.41948585658391135,4.500013714008771,-0.1979625772454407,149.6,0.2330067156127899,0.07272745141217898,1.1737999512957484,0.5104855584898397,0.937292014787812,0.23650793650793647,-0.937292014787812
32,2.0,13.0,True,81.0,19.0,0.07584169820972489,0.1437851787151659,0.05820703196923827,0.9666799861545735,0.386452397549647,1.3254480295134308,1.7530119721090176,2.2241521033409524,1.3393346141109392,0.4686414177790786,5.777267505590499,-0.2776902135018721,154.2,0.2814881976506841,0.11057621327644847,1.2427306980130022,0.5109437849284484,0.9879687932510974,0.2547619047619047,-0.9879687932510974
33,3.0,8.0,True,88.0,26.0,0.051205758889575,0.07673699228836332,0.05039293376966308,0.9531649402889943,0.40315290202944354,1.4691704572487265,1.888097649495334,3.083884479631485,1.3991356256403344,0.3793274913790488,7.452645076828281,-0.20781623103502717,135.6,0.2504778843662371,0.08128862009559637,1.1952886010339498,0.4963053962966527,1.0143362200815689,0.18095238095238092,-1.0143362200815689
34,2.0,6.0,True,70.0,22.0,0.06543570033727263,0.08505482736856342,0.06207647709162534,0.8608240369078051,0.3568896357907569,1.258740222439297,1.7109285794969868,2.211384813076269,1.2965898408709267,0.5147402122380695,5.243579473051714,-0.2315520910707476,187.6,0.23984369244400142,0.09386207187209712,1.266940239259205,0.5014715556088551,0.8796386519576178,0.38730158730158726,-0.8796386519576178
35,3.0,11.0,True,80.0,24.0,0.058473715739728135,0.049067578373034514,0.06888866137781012,1.2642229232201472,0.5175360039140163,1.6655818625846333,2.5412464179399463,2.9713114516182855,1.442004630953853,0.46312465690824167,7.3650047499351725,-0.21216798694964512,106.4,0.26369287656304735,0.06366309833873009,1.3892257927702585,0.506279214138809,1.3241464276908934,0.0650793650793651,-1.3241464276908934
