trial,cci_lower_band,cci_period,cci_upper_band,long_only,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
27,-110.0,27.0,180.0,True,0.033921752092332134,0.1031171444841511,0.0,0.6048012771126364,0.26142309357450944,1.20637943529568,1.9825292904118108,1.5216332031849007,1.2595990636306589,0.4907404499592838,3.553263616689585,-0.22199806073274644,199.0,0.21444159224841944,0.08001763736356937,1.1756422783373468,0.4925436428321139,0.7431025957976642,0.43253968253968256,-0.7431025957976642
28,-100.0,18.0,165.0,True,0.06579608991558049,0.09413212521182174,0.0,0.4203132234808297,0.18057721141182065,0.9168992500270591,1.3442361395306857,0.9325832596088659,1.202075231095697,0.5096277907570663,2.199985763106147,-0.2663335854358859,181.2,0.2027642982829206,0.09828864799179367,0.9747381869940972,0.48965308078686043,0.6128334250893354,0.36190476190476184,-0.6128334250893354
29,-85.0,25.0,200.0,True,0.05246695582305713,0.1069393684825496,0.0,0.7288107907277019,0.31144919477180416,1.4018535738462135,1.931867371375716,1.8423406904897905,1.3120358843892919,0.5132518470828791,4.345164324633216,-0.23074098872911497,160.0,0.20969299798905716,0.08007548784938374,1.2726858063801672,0.4959245393062538,0.9949080286023894,0.2777777777777778,-0.9949080286023894
30,-95.0,25.0,135.0,True,0.04218010997608929,0.13870289999495347,0.0,0.723755015639105,0.32048614129263087,1.4987345925296964,2.2215358857081653,1.519151965173901,1.317457029593098,0.5080976282535754,3.4348097011208223,-0.222157518470481,159.0,0.20201923080225756,0.07467518918127926,1.2515824053193203,0.49580131222587054,0.9777728815097965,0.27380952380952384,-0.9777728815097965
31,-80.0,20.0,150.0,True,0.018451133689771165,0.12104076848729875,0.0,0.7358165820214065,0.3194057464195982,1.4848080576265867,2.119416470862805,1.725341816445474,1.3251193415683886,0.5287607163208976,3.993447357701084,-0.21172151825265573,124.2,0.20238927233304144,0.06980012628331315,1.2983683173380176,0.49362584499732653,1.162654031623732,0.13571428571428573,-1.162654031623732
32,-195.0,20.0,155.0,True,0.018909196372434642,0.08805838113199416,0.0,0.33439466494751635,0.14332963658598044,0.7090334247728147,1.0091862646555139,0.9663093654174311,1.1699969981707508,0.3657871642679027,2.1498180655420827,-0.255424443308622,230.8,0.24083325694872704,0.13810034677489497,0.8010871001842987,0.5000743055435759,0.24235694145414,0.5587301587301587,-0.24235694145414
33,-115.0,16.0,145.0,True,0.02492281548185729,0.13081389291674334,0.0,0.6555733211460938,0.288139440591774,1.403664433933379,2.0032908656553294,1.378144645735357,1.2939613351838326,0.5141376242439812,3.173575482286907,-0.25592567462710925,160.0,0.19824196308494302,0.0887269775580625,1.2072094551689345,0.4913821851038197,0.9294316773911567,0.2777777777777778,-0.9294316773911567
34,-100.0,19.0,160.0,False,0.019091601189392397,0.11898343803684414,0.0,0.2725287311134402,0.12547890325890793,0.8938771862235504,1.4540424111953751,1.3735463895074522,1.1903582539921609,0.4923218587259425,2.979988625259457,-0.1453040566532125,173.8,0.1423584752031243,0.04721122181240646,1.045050619378649,0.4967969652331424,0.7125109368389665,0.3325396825396826,-0.7125109368389665
35,-145.0,21.0,130.0,True,0.03505660366893206,0.10719129196029048,0.0,0.33062972672168434,0.15016659331481347,0.7290221217603923,1.0978117841755102,0.7125078312595441,1.1593976145267404,0.45747385335698904,1.5808381976021868,-0.2805207473730678,269.0,0.22512500552744208,0.11695695187766049,0.8144309847052164,0.4877070596433109,0.104113524387756,0.7103174603174603,-0.104113524387756
36,-90.0,19.0,170.0,True,0.02462168389246558,0.09520002790289706,0.0,0.4988423170125674,0.2215601291711084,1.0629698263133895,1.5049742980107608,0.9700351399741527,1.2267215192289525,0.5246427686443431,2.2159700515027594,-0.2668891314140979,225.2,0.20388875693083638,0.09936537302168107,1.0329469480489737,0.48955522156124165,0.4964390115410372,0.5365079365079365,-0.4964390115410372
37,-155.0,28.0,150.0,False,0.015655723710873475,0.08048395459318043,0.0,-0.024597668109496307,-0.018490948072086268,-0.03710992254651131,0.037440054355700345,0.15499073500972047,0.9986530768189941,0.442438916428607,0.38058661414605705,-0.2425879410556509,292.0,0.16691903246063972,0.11578357835788551,0.12803955654376867,0.4927636900453346,-0.673547745043533,0.8015873015873016,0.673547745043533
