trial,displacement,kijun_period,long_only,senkou_b_period,stop_loss_pct,take_profit_pct,tenkan_period,trailing_stop_pct,use_cloud_breakouts,use_price_cross,use_tk_cross,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
23,35.0,35.0,False,52.0,0.07249154254432719,0.09779140499269615,13.0,0.0,True,True,True,0.3794204355063568,0.20569151278125625,1.7156567998609131,2.56423526053407,2.7151520555951927,1.3854118367221395,0.5442594647337838,4.996569602174067,-0.09158209223469205,105.8,0.11133531300502642,0.0324656028620792,1.4632526904181609,0.4916482207064676,1.4005542777197482,0.06269841269841268,-1.4005542777197482
24,34.0,40.0,False,51.0,0.050375306093234214,0.060207317067618636,15.0,0.0,True,True,True,0.3329437665926317,0.18003070358043188,1.5272928426699888,2.244044109546577,2.2051082067213477,1.3260788401830312,0.5408543948878967,4.065913878082839,-0.08774399463235316,104.4,0.10863934656132487,0.029511577703324264,1.3627547835806635,0.49062649857551677,1.3056119264378063,0.05714285714285717,-1.3056119264378063
25,33.0,37.0,False,47.0,0.05685127279943682,0.07632182582496588,14.0,0.0,True,True,False,0.41902128496925073,0.22252247841190864,1.7168615798995652,2.5100257981339964,2.7105596455777756,1.377925094113769,0.5551025248341762,5.07809746829488,-0.0839925268070845,85.4,0.11823106384039712,0.02613403269932721,1.4727866086340085,0.4914460801491402,1.4727866086340085,0.0,-1.4727866086340085
26,33.0,34.0,False,48.0,0.06263095856547668,0.09800929698800956,14.0,0.0,True,True,False,0.44752113395367676,0.23453625879227843,1.759852680261679,2.5332501695350955,2.892588004604543,1.3962887265401325,0.5518849818137599,5.465332096127914,-0.08007857112214241,82.0,0.1171728120743853,0.02504268176515497,1.492604938575946,0.4907336661520552,1.492604938575946,0.0,-1.492604938575946
27,34.0,26.0,False,65.0,0.04842810369534077,0.06505627492063878,12.0,0.0,True,True,True,0.38135352118394394,0.20726711232751996,1.7482148025199298,2.641905212619795,2.972512878412959,1.404230197978856,0.5480654793519343,5.443553689495549,-0.08685106644810112,120.8,0.10848242720031424,0.03169940712344406,1.4972377906180179,0.4915715583031087,1.3750155683957956,0.1222222222222222,-1.3750155683957956
28,35.0,30.0,False,40.0,0.04103126423173849,0.11621427812254623,11.0,0.0,True,True,True,0.38549205929062746,0.20632865392547353,1.7397330231702797,2.511976634078604,2.8445264017419505,1.39667766841538,0.5468621877749796,5.2751452445625695,-0.07593479102217342,97.2,0.1097338853217622,0.025824015430103903,1.4783374020835303,0.49306336928990085,1.4497659735121016,0.028571428571428584,-1.4497659735121016
29,32.0,20.0,False,54.0,0.07337678169930979,0.1000444161998718,12.0,0.0,True,True,False,0.45575135690977914,0.24170546649623206,1.9373737828759237,2.8598138302509897,3.1673055152422145,1.4426718373148166,0.5560709619434101,5.955964272883817,-0.08290371892861828,91.6,0.11437708449442859,0.024012534947070445,1.562113363669621,0.4929648932390017,1.5557641573204146,0.006349206349206327,-1.5557641573204146
30,31.0,20.0,False,69.0,0.07552083838818488,0.07808875300552641,13.0,0.0,False,True,True,0.3716858577596429,0.20158094064537718,1.755071399566529,2.7857703884507132,3.099243576464854,1.4087366078577452,0.5413405767335799,5.727602743720986,-0.08246625418616685,121.8,0.10899578587617065,0.03058864546231921,1.5063572654386037,0.493970220027827,1.3801667892481275,0.1261904761904762,-1.3801667892481275
31,26.0,26.0,False,64.0,0.07183439407363855,0.11029493953695868,11.0,0.0,True,True,False,0.44644136685014624,0.23216921405894403,1.7554524332628962,2.5895942306224433,2.765538164015573,1.4023939588209526,0.5457723535735972,5.2772121817165125,-0.08961602469179124,99.2,0.11736113943399973,0.02711251401302168,1.4806647305745178,0.49190021162087527,1.4441567940665812,0.03650793650793652,-1.4441567940665812
32,32.0,20.0,False,54.0,0.0744390246501686,0.0676511266767309,12.0,0.0,True,True,True,0.4152309473996706,0.2221761209597624,1.9776384630634527,3.06719730364694,3.7592968007639294,1.4706532037730011,0.5547606722305526,6.998762115765582,-0.07307270609207647,87.8,0.10439245093067318,0.022587974504284285,1.6115503829477826,0.4944259579610238,1.6115503829477826,0.0,-1.6115503829477826
33,30.0,30.0,False,68.0,0.06806078480679632,0.06719331202687395,7.0,0.0,True,False,True,0.4169572130560777,0.22165153721521044,1.643152659650531,2.368021074152318,1.9025272470120398,1.3637194521064397,0.5403118219099814,3.554089586540525,-0.11295581527601924,123.6,0.12131037353613953,0.039551119512595996,1.35687230831942,0.49208250746547444,1.2235389749860868,0.1333333333333333,-1.2235389749860868
34,29.0,31.0,False,50.0,0.07498658666610543,0.07846648504051035,14.0,0.0,False,True,True,0.3327227840881833,0.17764181225487108,1.5228695079928065,2.1101527189402383,1.9053236423082367,1.3304215855471295,0.5527604341891066,3.5479290258599363,-0.10242072781078378,104.0,0.10940413342331341,0.03238133959939284,1.3339268881174888,0.4918414944025799,1.2783713325619332,0.05555555555555555,-1.2783713325619332
