trial,aroon_down_threshold,aroon_up_threshold,long_only,lookback,signal_smoothing,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
24,39.0,66.0,True,29.0,4.0,0.04061590137843365,0.08938007989509476,0.0,0.9250328038467215,0.3820819329052092,2.0111681940325656,2.194288050764506,2.486157114472067,1.455429787514898,0.5789012432756964,6.040753137795825,-0.19102081580550148,136.6,0.16280403130271492,0.05691684408485788,1.5246946314853276,0.48988750363794076,1.3397739965646926,0.1849206349206349,-1.3397739965646926
25,32.0,70.0,True,45.0,4.0,0.041723417549479044,0.09238646386111307,0.0,0.8987496126973132,0.37294705926935473,2.0112915622242413,2.137668889166526,2.3838509028728563,1.463341733566455,0.56307954174913,5.715172167972828,-0.17521389996273518,127.2,0.15809607459368297,0.048949016446929165,1.4929941874421275,0.49043189544053317,1.34537513982308,0.14761904761904762,-1.34537513982308
26,32.0,74.0,True,46.0,4.0,0.04962982014555384,0.10834685396956587,0.0,0.9124772931579631,0.3765652983930547,2.0137083435134366,2.1294394587502232,2.438109469080967,1.4675450659862963,0.5602536664754796,5.87054968043011,-0.169423361973232,124.8,0.15780881585306714,0.047109406502603604,1.4951352417447028,0.4905561915999564,1.3570400036494648,0.13809523809523808,-1.3570400036494648
27,25.0,74.0,True,47.0,4.0,0.05494128873164342,0.10970304000398041,0.0,0.8983522231676883,0.3713644239726229,1.9794960545141063,2.08433105719559,2.4036772396959356,1.4607029657997064,0.5594357037457809,5.773592181021784,-0.16957779895756797,124.2,0.15812181388262808,0.046849737462846625,1.4828367783136083,0.4908191904030641,1.3471224925993226,0.13571428571428573,-1.3471224925993226
28,34.0,77.0,True,42.0,4.0,0.0617255763349953,0.11915405798917163,0.0,0.8852342355526209,0.3686861938821542,2.000466320529766,2.147794783947463,2.346775315445897,1.4572656725641515,0.5634877320492583,5.609052842750669,-0.17926181051985687,129.0,0.15831345243253986,0.05047674867438434,1.4885547509466026,0.49020246626246367,1.3337928461846977,0.15476190476190477,-1.3337928461846977
29,33.0,80.0,True,38.0,5.0,0.05034022980846194,0.10592761933928016,0.0,0.8884175070267698,0.3699158809945278,2.0040477814349926,2.168155997097807,2.376893126723482,1.4558754036707175,0.5708075580113336,5.693091172119963,-0.18065327562513042,135.4,0.159063288150058,0.05150745102583252,1.5017434539351122,0.49026939366537714,1.321584723776382,0.18015873015873018,-1.321584723776382
30,36.0,74.0,True,39.0,4.0,0.04473682474542648,0.14165990632318215,0.0,0.8738479692980651,0.3641953098406067,1.9752102550471389,2.126169050983008,2.3330889948780973,1.4477891665649663,0.5671397458705789,5.584765742042538,-0.18367533565541436,135.8,0.15906372263800977,0.05325683427063519,1.485802520124162,0.49009124912159024,1.3040564883781303,0.1817460317460318,-1.3040564883781303
31,29.0,76.0,True,47.0,3.0,0.06048272818175533,0.11942461736242381,0.0,0.9092284611616929,0.375616688120883,2.007237388509739,2.118920154534309,2.4322316143717173,1.4666790510362018,0.560655189436275,5.850299685662249,-0.1701721776935444,124.8,0.1580478765169928,0.047151419546782695,1.4934095664144842,0.49068968324298246,1.3553143283192461,0.13809523809523808,-1.3553143283192461
32,31.0,78.0,True,44.0,5.0,0.04947652938707843,0.0992617534434115,0.0,0.8942917417642757,0.3712266648197658,1.9960483432678047,2.1212304033031892,2.3819579476685324,1.4610163560808787,0.5622640261703716,5.711083490428524,-0.17622663758837806,127.2,0.15835139122236425,0.04921123436205579,1.4887177107002318,0.49056161692795763,1.3410986630811843,0.14761904761904762,-1.3410986630811843
33,35.0,73.0,True,34.0,4.0,0.05638177000710941,0.10706309307583836,0.0,0.8914464261509105,0.3711913804366212,1.9827067699664553,2.1510213780730068,2.3806922198314746,1.4469522176593907,0.572416884425936,5.725269520156742,-0.1897734983343409,137.2,0.1612789903948819,0.055940967930464845,1.499230539593776,0.49004147670903764,1.3119289522921886,0.18730158730158725,-1.3119289522921886
34,33.0,77.0,False,50.0,5.0,0.05400531705725911,0.0609019252322732,0.0,0.2346050085622343,0.10750187748080668,1.0809319734376275,1.2799462447401107,1.5706058336779694,1.3061060879514703,0.511928890099423,3.4030070275232185,-0.13712454482398417,257.6,0.0898130138172702,0.06524999052157807,1.1202398127841378,0.49398916542152077,0.4551604477047726,0.6650793650793652,-0.4551604477047726
35,37.0,69.0,True,40.0,3.0,0.04335193550780788,0.11421636066824356,0.0,0.8807984456728182,0.3670778535490148,1.9893042710728277,2.1403835924484036,2.3454122534607516,1.450731891650193,0.5675420933832304,5.612172003708491,-0.18362963100713758,135.6,0.15909136946798713,0.052988637754292224,1.4904115195063234,0.4900917685707726,1.3094591385539425,0.18095238095238092,-1.3094591385539425
36,31.0,75.0,True,32.0,5.0,0.06319996875715037,0.14386112782296356,0.0,0.8863717208430811,0.3688852492759399,1.956415957931799,2.116639165234052,2.3598899200062418,1.440016398378183,0.5724053062948946,5.668884466013116,-0.1884821991106459,137.2,0.16183664876877096,0.05540153749210693,1.4906142181245223,0.49003508978514765,1.303312630822935,0.18730158730158725,-1.303312630822935
37,25.0,70.0,False,48.0,4.0,0.057641174592154336,0.07497257336376839,0.0,0.22972475337204226,0.10604819622189832,1.0974605947854033,1.3287860987248314,1.5260175014683837,1.299589902683914,0.5127735989740179,3.284355317346654,-0.1244806954351106,256.0,0.0851053466386984,0.05881684338195736,1.12292528990758,0.4939606234608739,0.46419513117742117,0.6587301587301587,-0.46419513117742117
38,36.0,68.0,True,36.0,3.0,0.05131558784049191,0.09524167220154432,0.0,0.8962701506734932,0.3731865852726102,1.9977920469396557,2.1584093197923524,2.3934444149496943,1.451724919168688,0.5724234847909988,5.750802528062152,-0.18842198409067099,136.0,0.1609770738150028,0.055151094259408937,1.503251707029912,0.4900308436007837,1.3207120244902295,0.18253968253968253,-1.3207120244902295
39,29.0,80.0,False,45.0,5.0,0.04005084305991828,0.08691730230908626,0.0,0.2531186912868494,0.11544333292137325,1.118700809509029,1.3503091561478133,1.5549184292772114,1.3133135938299119,0.5160216155670273,3.373082114352573,-0.12640278324008708,253.8,0.08650256322182989,0.060244039542892557,1.137788760256099,0.49437240200309535,0.48778876025609896,0.65,-0.48778876025609896
40,35.0,76.0,True,42.0,4.0,0.0710231160803098,0.11044214670669154,0.0,0.8871427526976122,0.3691224789044495,1.9997593422515663,2.1480380602738163,2.3535046248546374,1.4574856129403533,0.5643031806537465,5.629704342560705,-0.1797965980089386,152.6,0.15845632154580427,0.051120992080215956,1.490187521198667,0.4902148923315176,1.2417748227859686,0.2484126984126984,-1.2417748227859686
41,38.0,73.0,True,49.0,3.0,0.05929941672110563,0.1000321589948788,0.0,0.96206419214036,0.3921529093260504,2.083051646996542,2.2175126619124557,2.6884826623415714,1.4880501943891704,0.557412120154402,6.55807252851555,-0.1549838468704649,124.6,0.15547042038756906,0.04410644040654124,1.530032013156082,0.4904611124889291,1.3927304258544948,0.13730158730158729,-1.3927304258544948
42,39.0,73.0,False,36.0,1.0,0.07238908221753962,0.10243241217861959,0.052968689144175456,0.22135109245589052,0.10169455853141043,0.9474063811558195,1.164262063762095,0.9770562156816291,1.255160126445622,0.5209198394827773,2.0954158822486018,-0.14855442385204576,238.0,0.0887760150592761,0.07044690279979886,0.9785480313370033,0.4927514020245498,0.391246444035416,0.5873015873015873,-0.391246444035416
43,37.0,71.0,True,48.0,1.0,0.05995745667324438,0.07585479199936693,0.0,0.8982246925945944,0.37255954489851373,2.0070810729303274,2.135652214213713,2.389624705319234,1.4629037562399843,0.5602471330846868,5.730730083131024,-0.1746275517588312,128.2,0.15802034032354143,0.04882461466709117,1.4895917936256071,0.4902846502956303,1.3380044920383056,0.15158730158730155,-1.3380044920383056
44,38.0,68.0,True,50.0,1.0,0.0655503840100004,0.06352442890660596,0.04145027270439974,0.9100960763376357,0.37576290715865,2.014344942140741,2.1308993652609654,2.436004918807284,1.4671582727840549,0.5586268521680888,5.860263622390628,-0.16923949876471278,125.2,0.15741326979395223,0.047303896906557195,1.493069491267422,0.49026660356534774,1.3533869515848824,0.13968253968253969,-1.3533869515848824
45,39.0,63.0,False,22.0,3.0,0.06612362294096376,0.08635321540770925,0.0,0.1879679398873662,0.08748546926947157,0.8169869049283406,1.0349819091448604,0.6360024925354806,1.2072695451598978,0.5257612731697083,1.3464422266651124,-0.14159377563181091,250.4,0.09335190722465422,0.06693500555636893,0.8292391308166855,0.49332640447407544,0.19273119430874897,0.6365079365079366,-0.19273119430874897
46,34.0,73.0,True,31.0,3.0,0.059421166114254104,0.0954842370836127,0.05358197767631755,0.9192663496309545,0.3804084089650416,2.004520118714128,2.192375191126703,2.464042013902662,1.4521162460286707,0.5764704245463187,5.972982164868661,-0.1898091515249744,136.2,0.16238561478497981,0.056377165470280675,1.5183718861009399,0.4899768270506777,1.3350385527676065,0.1833333333333333,-1.3350385527676065
47,38.0,71.0,True,10.0,1.0,0.06301187980203009,0.1260788328577578,0.0,0.8087713866371484,0.33782779027501203,1.6734074376919836,1.7953482482960237,2.057033179633991,1.365685067889577,0.5971615696526322,4.935437998327291,-0.20708074074477473,173.0,0.17216771231979397,0.06951373890512735,1.4117137840250522,0.4878754909749509,1.082348704659973,0.32936507936507936,-1.082348704659973
48,26.0,60.0,False,34.0,3.0,0.04756307578323123,0.06522105318243122,0.0,0.16376575012777064,0.0766165304420833,0.7436047464157924,0.8362564839998127,0.6930941658795671,1.1917581236190653,0.5160600182574353,1.4585632507519142,-0.14964133689084708,233.8,0.08638084960440043,0.06749313599019921,0.8058155206677995,0.49306481503740773,0.23518060003287877,0.5706349206349207,-0.23518060003287877
49,20.0,72.0,True,43.0,2.0,0.0523927906802689,0.07217972881305036,0.06891861943495399,0.8819529079603623,0.36730742660683735,1.969655628260727,2.116069631853856,2.318735328232143,1.4482639819938448,0.5675513245187629,5.531631261078429,-0.17925491793421072,128.0,0.1591036222219941,0.050142307671068365,1.4833998945437021,0.49062524069094754,1.3326062437500514,0.15079365079365079,-1.3326062437500514
