trial,long_only,lookback,signal_strength_window,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
24,True,15.0,24.0,0.04916511103295725,0.07721431282118865,0.053928055826020435,0.25202808002734656,0.2575990324622729,1.389959152319674,1.5869012066934391,2.2306288025898824,1.3068719924379502,0.5601731387550054,2.172265713504697,-0.20022440315719764,115.4,0.18322040178111426,0.08302578590411905,1.2477629390251133,0.47536828772953,1.1469692882314624,0.10079365079365081,-1.1469692882314624
25,True,14.0,40.0,0.07186791217893895,0.09659655672160852,0.06468527716972364,0.25874115172533435,0.26466057491273093,1.4433632244496286,1.728729712567667,2.5333136427457776,1.3221924083755854,0.5470986305742807,2.467921508328288,-0.20152982437336622,100.4,0.18638620643785683,0.07977986914186572,1.2888346085769873,0.47721778720440566,1.247564767307146,0.04126984126984129,-1.247564767307146
26,True,16.0,10.0,0.06366962793040226,0.07639808076156406,0.05042916187478174,0.29795693726049016,0.3052739547620663,1.696729523720133,2.028253685215632,3.2169205417485656,1.3752519214912053,0.5739992129703478,3.1349498754583465,-0.19384126110343258,90.8,0.18533246183205349,0.07581604662399088,1.4348756801613698,0.47954288100479125,1.4317010769867666,0.0031746031746031633,-1.4317010769867666
27,True,17.0,10.0,0.06235475943990306,0.07418866401858759,0.041201425418026974,0.2734027382774571,0.27984584682749547,1.510709902577169,1.659825804620759,2.875269887274354,1.3473024075001891,0.5804644624222227,2.7974957930378834,-0.18951096632458134,108.0,0.18670709605306984,0.07178183402550246,1.3529811676434982,0.47929764321622115,1.2815525962149268,0.07142857142857142,-1.2815525962149268
28,True,18.0,10.0,0.04889476432350097,0.11036824389014875,0.07977105563102638,0.2526004049655061,0.25859106572372953,1.439475422541725,1.68475360414282,2.3372179501493795,1.3138025589371598,0.5609804743204975,2.2815250300469603,-0.17978678154086603,100.8,0.18701337371461801,0.06712880824749864,1.2770953954750899,0.4753298442084903,1.234238252617947,0.042857142857142844,-1.234238252617947
29,True,13.0,22.0,0.060538515523955456,0.09022379290067754,0.0496999673748245,0.21809241979229615,0.22320604661514717,1.2094732176166143,1.342259369375412,1.9442702177949034,1.2663926807678858,0.5690815962131183,1.8963759731677594,-0.1969046568424322,128.0,0.18609372433137844,0.08057892615050422,1.162715466765121,0.47938518324591106,1.0119218159714702,0.15079365079365079,-1.0119218159714702
30,True,16.0,10.0,0.053144429514283345,0.10425116715302107,0.06935949017882895,0.29795693726049016,0.3052739547620663,1.696729523720133,2.028253685215632,3.2169205417485656,1.3752519214912053,0.5739992129703478,3.1349498754583465,-0.19384126110343258,90.8,0.18533246183205349,0.07581604662399088,1.4348756801613698,0.47954288100479125,1.4317010769867666,0.0031746031746031633,-1.4317010769867666
31,True,19.0,16.0,0.07686555088861516,0.08771871895886874,0.061956802553883514,0.28890822892278073,0.29592489765527646,1.6226996179481517,1.8875000529343198,2.8981656884411344,1.3598620239339918,0.5626029853400386,2.8280038287458775,-0.17471612112449134,86.4,0.18471651741502967,0.06407005596940059,1.3769263529118554,0.4788204104039724,1.3769263529118554,0.0,-1.3769263529118554
32,True,13.0,12.0,0.06386137276958608,0.14552532867491946,0.04069173159194929,0.21801836328954644,0.22312910628631002,1.2093842558663312,1.342135678018792,1.9378933191845342,1.2663491565016436,0.5690815962131183,1.8901342370982568,-0.1970035888212096,128.0,0.1860893446451491,0.08058972277865266,1.1619070351481593,0.479375559633625,1.0111133843545086,0.15079365079365079,-1.0111133843545086
33,True,19.0,28.0,0.04035730267516976,0.07431036865811812,0.07319574359252418,0.2889941187950596,0.29601665676305533,1.6222784777784607,1.8871283730448678,2.90149911955527,1.3598612842140256,0.5626029853400386,2.831235693659284,-0.17471612112449136,86.4,0.18473897527761413,0.06407377018559811,1.3770955306502686,0.47882872859174297,1.3770955306502686,0.0,-1.3770955306502686
