trial,data_lookback,long_only,overbought_threshold,oversold_threshold,stop_loss_pct,take_profit_pct,trailing_stop_pct,wr_period,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
21,450.0,True,-22.026662661907118,-80.94596971832446,0.05300184417228098,0.07581915008552492,0.040321056353637336,21.0,0.5477644541827378,0.24608585179760567,1.1617049661300851,1.5770534805749405,1.8231161767002948,1.241688068481794,0.547853860585463,4.101413236860308,-0.2179478259230221,219.4,0.19697021757237923,0.10037455452019342,1.2200361688398298,0.4959405457714964,0.7065441053477662,0.5134920634920636,-0.7065441053477662
22,500.0,True,-20.95008186572741,-78.39442895519295,0.04699159579212647,0.08253023529350066,0.047776040961625924,22.0,0.5405660550192898,0.25048582299242816,1.2251240389194333,1.6526102937790745,1.6856705375985424,1.25066662591061,0.5439897629103115,3.6705896067072734,-0.2009315466942912,180.6,0.1953270455307396,0.0782130559423597,1.2183081946309238,0.49563576049400815,0.8587843851071142,0.3595238095238095,-0.8587843851071142
23,450.0,True,-20.923258097565366,-80.47555651420129,0.0561225933975496,0.08294797255070688,0.06087050928912179,22.0,0.5550207412663675,0.25438885860263427,1.2086190287296938,1.7078497350134527,1.601424720222634,1.2499316449139595,0.5397000284565395,3.518987679035052,-0.21636562946149307,214.6,0.19940147855507567,0.0941082891204904,1.2061601812587652,0.4947587882139598,0.7117157368143208,0.4944444444444444,-0.7117157368143208
24,500.0,True,-20.578294650315495,-77.98661999428877,0.048061588256660945,0.06969381078418195,0.05924465244543495,19.0,0.5839727658900553,0.2683792016168083,1.3211775556972227,1.729972993260676,1.9096441213432906,1.2691613580954484,0.5488945116316789,4.199376606456822,-0.20080416715189706,180.8,0.1952651881568238,0.07922966153833186,1.274833174670761,0.49406368547367985,0.9145157143533007,0.36031746031746037,-0.9145157143533007
25,425.0,True,-23.208218737121722,-75.22778930638893,0.044330850504805897,0.10146681195510482,0.04052357650533781,30.0,0.45569904608174505,0.21497998121820955,1.0655338839639243,1.4002309119506398,1.328458985841929,1.2141825268169502,0.539116846253298,2.840486186137128,-0.20798630859176637,182.8,0.1939820118325898,0.07806974964992001,1.1037621526229189,0.49470895623640765,0.7355081843689506,0.3682539682539683,-0.7355081843689506
26,450.0,True,-20.261767941916435,-76.9760437536724,0.05231795929176515,0.12751926853875462,0.046018276207750244,20.0,0.5855193339547231,0.2679473825392196,1.3373685172118812,1.8559435476724793,1.9006053235386287,1.2725130995959373,0.5437902385483303,4.213092039293203,-0.19489204138181374,198.8,0.1933113024694636,0.07835148268447498,1.2834661170929524,0.491872105674685,0.8517200853469207,0.43174603174603177,-0.8517200853469207
27,475.0,True,-21.476923882660326,-84.97777494622677,0.020407615346471945,0.08690588582948382,0.057314529928449626,23.0,0.4743506968135495,0.21098623703309666,0.972727211176214,1.387602423107273,1.57250224221438,1.2001288353457276,0.5367129404152455,3.5701854874137515,-0.2092957106743266,203.2,0.2063027134757413,0.08294900059700831,1.119158928758644,0.4923658000075529,0.6699525795522949,0.44920634920634916,-0.6699525795522949
28,425.0,True,-23.38707153433711,-81.96770021516541,0.05821012849380798,0.1211125691070585,0.06471406634192478,27.0,0.6300121072306908,0.29052998838742766,1.3280660581249053,1.7572227642114764,2.0042639364771024,1.2750421224215955,0.5510391731644347,4.401072186569096,-0.2076223780430476,155.6,0.20242318512776833,0.07613794558760753,1.2910864383948313,0.49844503266675205,1.030768978077371,0.2603174603174603,-1.030768978077371
29,400.0,True,-24.982116881838778,-82.16671422047006,0.059083313548102215,0.12178382576133757,0.0658128087161196,27.0,0.5557005447035646,0.2513073879232567,1.1501253762393526,1.516508360013895,1.8996361559644885,1.2396344797291488,0.5450855460670898,4.248094947837092,-0.21579011577664553,198.8,0.20485804158808613,0.08824131235150066,1.2165548863889093,0.49773836685089445,0.7848088546428775,0.43174603174603177,-0.7848088546428775
30,500.0,True,-23.779578698937247,-78.93186133674735,0.07014476957397825,0.12139701725457952,0.0651796577268165,28.0,0.6076222201478428,0.2795596115644801,1.3139040321497124,1.8423349952605315,2.008988136300467,1.2700491624525942,0.5432561274379654,4.404530249441395,-0.18972791721428753,179.6,0.19769162073607732,0.08109498885114143,1.2884368940581212,0.4975459143979638,0.9328813385025657,0.3555555555555555,-0.9328813385025657
