trial,consecutive_period,di_lookback,long_only,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
28,4.0,12.0,True,0.07924811031035574,0.12075193412811361,0.0,1.072455683315812,0.4367044911385139,1.546413762097011,2.225780269474662,2.146634781361027,1.3617411662015717,0.5437360380345057,5.293395613366135,-0.2367830004463575,159.6,0.24007392628333032,0.07952624530230495,1.387546366184721,0.4907200439829501,1.1113558899942448,0.27619047619047615,-1.1113558899942448
29,3.0,9.0,True,0.061465713185231384,0.14339573080903603,0.0,1.0189487088418008,0.3963539656442223,1.455909524178479,1.7707380283700953,1.5794089566424319,1.3394188102398925,0.5646588421129742,4.005654501335278,-0.27883044669909507,181.2,0.2087114210596238,0.10732432691754927,1.2897787089061088,0.4918774929951494,0.927873947001347,0.36190476190476184,-0.927873947001347
30,4.0,13.0,True,0.07244964839109247,0.10736343182438003,0.0,1.0902617446288532,0.43688305251331466,1.4755662132485705,2.120999196429882,2.117666700280109,1.3578059298112102,0.5390235230874811,5.3156513588451215,-0.2315753667566328,158.4,0.24231008961828532,0.07812744905487345,1.3632607644056927,0.49238937984542924,1.091832192977121,0.27142857142857146,-1.091832192977121
31,3.0,17.0,True,0.0769524364043771,0.13038808370915955,0.0,1.435734656379004,0.5206455915150825,1.3496271693710242,1.9972327338567417,2.6246005825317384,1.3871847412698095,0.5393375109556098,7.224260032041579,-0.235951201674978,169.8,0.27749780844027094,0.09089574741733003,1.3837376538174846,0.4931512533741903,1.067070987150818,0.3166666666666667,-1.067070987150818
32,2.0,12.0,True,0.06558544824580985,0.11630086492633504,0.0,1.2735627726796472,0.5045757917512053,1.940800019872258,2.8148453039191415,2.8168491831313736,1.4520460801792516,0.5677826207201647,7.077973082816664,-0.20428090464007562,158.6,0.2044401952181679,0.0751066283128748,1.572029809917533,0.4913588679525732,1.2998075876953108,0.2722222222222222,-1.2998075876953108
33,4.0,23.0,True,0.056378212868638804,0.13815245038099747,0.0,1.2030049668090599,0.4672732506980478,1.260196613479858,1.8484716133818417,2.146589357166795,1.3679196748422124,0.541643476417303,5.566733274449501,-0.2979993567006618,216.8,0.29520820659526137,0.12755343979504394,1.3165752986772254,0.5012812087701226,0.8134006955026222,0.5031746031746033,-0.8134006955026222
34,3.0,10.0,False,0.07284840577005046,0.11278878087142075,0.0,0.5487851154361213,0.2429366741010906,1.5322646227504222,2.5196461199405924,2.79297469216641,1.3648357448009558,0.5255490013788362,6.4095811071369555,-0.10477996804212308,175.4,0.14889303441605736,0.036275810385661654,1.4289019160748797,0.49194920885832494,1.0900130271859907,0.3388888888888889,-1.0900130271859907
35,2.0,13.0,True,0.06624048974117469,0.10095166664275983,0.0,1.3541899407599964,0.5249334435322528,1.9179117854094958,2.8298861452963116,3.4001341183731,1.4608833409093314,0.564358084003742,8.779486250851885,-0.20616044105491524,148.2,0.2087079137252951,0.07594317688712819,1.6046121035218424,0.4908630731363523,1.3736597225694616,0.2309523809523809,-1.3736597225694616
36,2.0,17.0,True,0.06622077684050759,0.07929898251431777,0.0,1.1637810250047298,0.45953076324159065,1.5276523285059802,2.1170177888725057,2.497010151820894,1.3813422209456436,0.5568817354391881,6.279837158998583,-0.2266362749283699,146.2,0.23262135722305127,0.0859754677168639,1.4264224502361345,0.49057501903288203,1.2034065772202616,0.22301587301587297,-1.2034065772202616
37,2.0,11.0,False,0.06250771108598054,0.1013715048112577,0.0,0.4937203156672584,0.22823509337365427,1.5641513611586197,2.442696404249358,2.690918304833892,1.363756948877119,0.5253643392165092,5.875777684889972,-0.11156025931661714,147.8,0.14074844655686722,0.036841426948087744,1.4193698523650653,0.49132591477673626,1.1900047729999859,0.2293650793650794,-1.1900047729999859
