trial,long_only,long_period,short_period,signal_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
40,False,21.0,16.0,11.0,0.06094746913435537,0.09011863993164494,0.056271849351090156,0.6218271830628541,0.27681803089575224,1.662703615769876,2.3849956784783797,2.91950459140729,1.3690582635775357,0.5454636745000131,6.544397984888401,-0.10853797406492231,126.0,0.15142832168788245,0.039470974670552876,1.4706689299461728,0.4925810729516112,1.32781178708903,0.14285714285714285,-1.32781178708903
41,False,30.0,13.0,8.0,0.09476023964346979,0.11856499238072433,0.0,0.514509481183776,0.23521150769864105,1.524253198646979,2.1107858501595578,2.075274051281034,1.3352437231737946,0.5474810027586395,4.540585120648656,-0.12538522199313823,152.2,0.1473821384779847,0.04096283415163441,1.3613497522865385,0.49176290699283143,1.1145243554611417,0.24682539682539678,-1.1145243554611417
42,False,21.0,10.0,18.0,0.08041161308129084,0.12945357974510638,0.06281982325439658,0.5475814844394099,0.24795514201907584,1.53061123525727,2.1309522635546,1.992101665221945,1.3312781614860878,0.5446019450941575,4.373650951909147,-0.12324041921304116,138.6,0.14917894309409713,0.04202588397725131,1.3511708300675371,0.4934415717243417,1.1583136872103943,0.19285714285714284,-1.1583136872103943
43,False,26.0,6.0,14.0,0.048762763787356014,0.0862851389470481,0.04940826216006104,0.760662740739558,0.32829785441120096,2.068583068050367,2.936063287559718,3.1695411014565513,1.4808678839664098,0.5636539815966758,7.317724400389994,-0.1119468486656714,118.2,0.13692970304347096,0.031406521891320795,1.6104830951200646,0.4945322028244202,1.4985783332153026,0.11190476190476191,-1.4985783332153026
44,True,23.0,12.0,6.0,0.07607574024137399,0.09684049131712644,0.0,1.285140912743517,0.49627729539723886,1.708742601659989,2.184364499874425,2.1501375579293884,1.4054387928651657,0.58015776461896,5.573697357613962,-0.28406959522983516,166.6,0.23578297577680854,0.10515488097339856,1.4553512843219325,0.49415382610517183,1.1513830303536785,0.30396825396825394,-1.1513830303536785
45,False,38.0,8.0,7.0,0.08536543116340657,0.10411619026045242,0.056148495590092246,0.7644384007537208,0.3337445090551451,2.140469600908385,3.082192934209444,2.883807854045462,1.4944724146901656,0.5673068493027831,6.536446202808049,-0.11501849343824846,87.8,0.13693663777052578,0.029622664325053893,1.6115037571128845,0.4950212015288978,1.6115037571128845,0.0,-1.6115037571128845
46,True,35.0,7.0,15.0,0.09095307891974158,0.07426040318721977,0.04703712694516528,1.243987589230849,0.492360747887661,1.7143167259778482,2.0483372900788575,1.8473889037068347,1.4062517063347642,0.5525342603219343,4.595299744124541,-0.2823993975933072,175.2,0.2377613937159493,0.10191290246038831,1.3788682827862238,0.4964256300793405,1.0407730446909857,0.33809523809523806,-1.0407730446909857
47,False,19.0,9.0,20.0,0.07117328546681222,0.12699490876785527,0.0,0.5404559672498442,0.24579780092176517,1.5459552453462573,2.241849631011006,2.134188036820562,1.3343939780594891,0.5413896817857101,4.690582012355998,-0.1204651073768126,144.8,0.14894116988275838,0.039637844383356255,1.3726310996644848,0.49095224908165314,1.1551707822041672,0.2174603174603175,-1.1551707822041672
48,True,28.0,5.0,11.0,0.05545250871366436,0.13657621968937195,0.06632093774644665,1.2169694165304565,0.4546093815832988,1.594552142356769,2.100688410566677,1.9798292768591907,1.3883181432282707,0.5789387006413872,5.269045369725497,-0.3079805163994796,162.8,0.24113391420361166,0.10586249686837797,1.4132124655909863,0.4926144596577582,1.1083625439031382,0.30484992168784814,-1.1083625439031382
49,False,17.0,14.0,13.0,0.08592896114477323,0.1218397381033697,0.06041801393007651,0.5925061269447248,0.26379684733963654,1.5933399087438045,2.238200357786441,2.690035661658401,1.3482619285086521,0.5425682766497488,6.067343632704718,-0.11457288278578895,107.6,0.14786672299220194,0.03515103974080147,1.4300216374806827,0.49248313903519314,1.3601803676394129,0.06984126984126982,-1.3601803676394129
