trial,long_only,long_period,short_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
20,True,28.0,3.0,0.09978507054653568,0.08318487577660777,0.06534992955341057,1.597613233370118,0.3221320615343372,1.2934936587571704,1.8274636873691439,1.213004263658539,1.2954067860500835,0.5322313593439825,6.071052840483778,-0.3137723250241112,233.66666666666666,0.2380404575810441,0.11590274559183493,1.2096134134156815,0.4861377151678179,0.611962943261639,0.5976504701540425,-0.611962943261639
21,True,20.0,3.0,0.0792153945316424,0.08245496471960406,0.06750583391363617,1.2156809069560304,0.2723206654627897,1.239236048269653,1.7220320377975165,0.7450864712535724,1.2578832446193111,0.5377523848018042,3.3528960280884643,-0.3873355215900441,554.3333333333334,0.23491883727797913,0.19619952408404165,1.0558524723251277,0.48705028444013937,-0.9614111634475533,2.017263635772681,0.9614111634475533
22,True,26.0,3.0,0.0982839613669928,0.0786161019080095,0.06867352269354217,1.4951818894087687,0.31158200716966244,1.3331756822307546,1.8031616060913553,1.290006198362488,1.2878575315241796,0.5480762998206458,6.4078082326541095,-0.32631163567352356,233.66666666666666,0.22542461082498147,0.12717178626024042,1.2404468256343482,0.4887703289885552,0.6177177341814809,0.6227290914528673,-0.6177177341814809
23,True,36.0,4.0,0.09987620642949266,0.0848374509138852,0.0690278243038383,1.5976549964330378,0.3204795454326876,1.2556493651130056,1.7190760838125752,1.3305247246170973,1.277658274466892,0.5227749546072437,6.955817621794835,-0.31576495899348905,334.3333333333333,0.24650435761963851,0.127702875849216,1.2074846884936523,0.4921572918494946,0.20637805092995465,1.0011066375636977,-0.20637805092995465
24,True,20.0,3.0,0.09441451610568355,0.0797614646787709,0.09883830137914226,1.2156809069560304,0.2723206654627897,1.239236048269653,1.7220320377975165,0.7450864712535724,1.2578832446193111,0.5377523848018042,3.3528960280884643,-0.3873355215900441,554.3333333333334,0.23491883727797913,0.19619952408404165,1.0558524723251277,0.48705028444013937,-0.9614111634475533,2.017263635772681,0.9614111634475533
25,True,28.0,4.0,0.07879916028280352,0.08932023622182035,0.07023753919868053,2.0863608573829455,0.35496953869935616,1.452760322163974,2.076484490868719,1.689825861051186,1.3273079999378359,0.5339211106605496,10.163396096153075,-0.35099759880504083,423.3333333333333,0.2477529704766016,0.20282174549516618,1.3373639294715411,0.49285872461104346,-0.08738259088986311,1.4247465203614043,0.08738259088986311
26,True,38.0,5.0,0.09986856378991563,0.07355221542664746,0.062317968756110564,1.8221549093870204,0.3325898470639364,1.3016977970161132,1.88767856906939,1.964368320952783,1.293457168233284,0.5174007231670473,10.750189000119532,-0.31124331737935385,264.0,0.25024722117960146,0.11554979572698443,1.3026686382499504,0.49511258952269577,0.5897058130150522,0.7129628252348982,-0.5897058130150522
27,True,24.0,3.0,0.08561938601313905,0.08820251134685429,0.05282849025568957,1.7697388145180415,0.3456083886691721,1.4333765245169652,1.9773797297374542,1.6488717579672,1.3237758963194288,0.5421199490539369,8.915032556374614,-0.2759153263726526,354.3333333333333,0.24497692881227517,0.11420174734027139,1.326833722404887,0.48714820370101886,0.2778919234630881,1.0489417989417988,-0.2778919234630881
28,True,28.0,5.0,0.09316556280045982,0.10492868223517804,0.08906338292760356,1.4383339701986795,0.2840526850947346,1.2523245772060279,1.6637901820149732,0.9826546724222052,1.269447946256427,0.5359665173187881,4.996918168933081,-0.36557749665731615,458.6666666666667,0.23943442498245524,0.16310169900720936,1.1383342922951694,0.4972999223370386,-0.455783663982426,1.5941179562775953,0.455783663982426
29,True,46.0,9.0,0.07320515837275764,0.09282347124257698,0.07350114983541516,1.4698657195360276,0.301409908074501,1.1899131668454543,1.7579071485278248,1.4958543513580158,1.2733186655586826,0.46861461019274436,7.223524981502649,-0.3115537817228113,336.6666666666667,0.24371194632880777,0.12478269831755602,1.1683367621399543,0.48471062573070717,0.16639321985835265,1.0019435422816017,-0.16639321985835265
