trial,fast,long_only,slow,smooth,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
29,8.0,False,21.0,11.0,0.04092646811436743,0.10516018220386153,0.0204655678731671,0.558289758776015,0.25003959825112415,1.6656346282697867,2.3208693950878008,2.446244150673447,1.3692573674541968,0.5502362671691132,5.404934386506911,-0.1005701909880864,112.2,0.13420165926302097,0.029142358309230693,1.4378921051630338,0.4919515238624751,1.3497968670677958,0.0880952380952381,-1.3497968670677958
30,8.0,False,27.0,7.0,0.03430098109222754,0.13143152887008838,0.04129802291216333,0.6155702453122509,0.2750137442061827,1.9238637595403094,2.6036359792469637,3.0925127623986013,1.436093078615828,0.5547184035182843,6.946157777640569,-0.1051098114224521,83.0,0.1313390254818853,0.028720996983987328,1.5502907024913624,0.4941073517043848,1.5502907024913624,0.0,-1.5502907024913624
31,9.0,False,26.0,7.0,0.010076478238033787,0.1352760711336707,0.05541438351470398,0.603095739019772,0.26900234203410733,1.79739491968216,2.383904037751538,2.9223852157399626,1.4047234910557829,0.5562816371271053,6.538234199687909,-0.10877327707639661,92.2,0.1344814669256853,0.03163161900696214,1.5073453308927933,0.49323765747214965,1.4986151721626346,0.00873015873015874,-1.4986151721626346
32,9.0,False,27.0,7.0,0.01038613979830613,0.1416922115361579,0.055299641912217756,0.614669475865306,0.27410172795389925,1.8248305645158893,2.430307364616041,3.075396520538253,1.41782094262156,0.5672981263659407,6.903654971822175,-0.11070844153164121,107.4,0.1363353937903022,0.03309629009927866,1.5394372778414758,0.49359559966828553,1.4703896587938567,0.06904761904761907,-1.4703896587938567
33,10.0,False,24.0,9.0,0.010540509620676616,0.13603823189274988,0.04485630545260305,0.5257993637781256,0.23539992149719496,1.532999147538577,2.2195909706365793,2.11483138291521,1.3429294546393074,0.5380287713730635,4.678724093751387,-0.115966888861967,123.4,0.13719991234534473,0.03643853052242226,1.3658989817434135,0.4901532610167726,1.233359299203731,0.13253968253968257,-1.233359299203731
34,11.0,False,28.0,6.0,0.019152543524726118,0.14984644964019705,0.05420599799478848,0.7524172012171505,0.3256529509960139,2.0522687257389967,2.808097442958966,3.1736161879285545,1.4821631473071353,0.5660706683050993,7.220752124836778,-0.11223880465841836,95.8,0.1373280682310467,0.027884667548034807,1.6050420749471166,0.4940872734005568,1.5820262019312437,0.023015873015873003,-1.5820262019312437
35,11.0,False,28.0,6.0,0.018026815154610094,0.12187032052217109,0.06105665725663763,0.7524172012171505,0.3256529509960139,2.0522687257389967,2.808097442958966,3.1736161879285545,1.4821631473071353,0.5660706683050993,7.220752124836778,-0.11223880465841836,95.8,0.1373280682310467,0.027884667548034807,1.6050420749471166,0.4940872734005568,1.5820262019312437,0.023015873015873003,-1.5820262019312437
36,12.0,False,36.0,6.0,0.017100330280844435,0.10829344082332831,0.06096126705443815,0.7007744149480531,0.30402597035190426,1.825027338814889,2.629784635058184,2.597352896663164,1.437424247211675,0.5526721638199009,5.922411568134294,-0.11866338348576935,133.2,0.14630311997933979,0.032058384507532886,1.504840492428863,0.4936815093995275,1.3334119210002915,0.17142857142857137,-1.3334119210002915
37,11.0,False,39.0,5.0,0.025520470069445238,0.09581077328583242,0.060509168362556154,0.7439767404993824,0.325754058566302,2.1693490675455047,3.0529340124764195,3.2878132801640367,1.5056036857678097,0.56360158974924,7.4977334691100195,-0.1080810717046293,112.8,0.13329114411870915,0.029974821417211767,1.6373145678807517,0.49436454263023066,1.5468383774045613,0.09047619047619046,-1.5468383774045613
38,13.0,False,29.0,6.0,0.016405459585533574,0.12320566223339911,0.07549260032265061,0.737132572948893,0.3170720011376892,1.9036830823394726,2.769925923039053,3.2144201334261786,1.4563296597132278,0.5567099419387722,7.301408810751222,-0.09980867060030027,96.2,0.14350453483033632,0.026705146998815654,1.57179107146166,0.4929394164714066,1.5471878968584856,0.024603174603174613,-1.5471878968584856
