trial,atr_period,atr_threshold,entry_lookback,exit_lookback,long_only,lookback_period,stop_loss_pct,take_profit_pct,trailing_stop_pct,use_atr_filter,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
24,9.0,0.6859152136771459,60.0,30.0,False,19.0,0.0726309465571456,0.09258890931188327,0.0,False,1.7362747474437938,0.7095589602428445,1.656788738700667,2.7908125514976363,4.308238307484796,1.3957784406847609,0.480239687871158,10.634793202185731,-0.2162285586655825,161.0,0.31806321896895534,0.09394356218715297,1.4681485612587115,0.4842314993140405,1.1864025295126797,0.28174603174603174,-1.1864025295126797
25,12.0,0.9389043756996348,36.0,7.0,True,21.0,0.04898631278589631,0.1127986677678892,0.04002129238237336,False,2.9922581886875146,0.9600572115563942,1.957658170519809,2.6218535481573784,4.629483397293006,1.5087843095941154,0.5095090243991823,15.269280521449023,-0.3032595065418937,122.8,0.3267609324437852,0.10779285222689625,1.579287832847545,0.5034133433751794,1.4426100896050276,0.13667774324251758,-1.4426100896050276
26,8.0,0.5745371627110927,43.0,15.0,False,38.0,0.040072735112831014,0.12134300086323001,0.0,False,2.764411683857931,1.0001419076170894,2.408644100379607,4.224866931241282,6.388290892779487,1.5862405133157944,0.5398696673513476,17.446735839826523,-0.169637688802539,94.6,0.28300535784704584,0.06528348284649421,1.7918796169494302,0.49641651066873316,1.773625648695462,0.01825396825396823,-1.773625648695462
27,18.0,1.7093584539802338,16.0,12.0,False,34.0,0.07933471009799263,0.09287636821690219,0.05492285266619629,False,1.4895269704481209,0.5911888448197158,2.1719827433845253,3.5661289313006295,4.1515715334533265,1.4832134974203168,0.5507972559835906,10.45721490245683,-0.14421225402131715,116.4,0.211108032750776,0.05508472153185564,1.6820446811281347,0.49527268854912165,1.5772827763662298,0.10476190476190478,-1.5772827763662298
28,10.0,0.5004835356757366,33.0,7.0,False,43.0,0.06854585000088384,0.10996571218827646,0.0498169364012932,False,2.9455178555030423,1.020341210512409,2.76976491195312,4.2533674684395235,7.753148004837863,1.662429119522648,0.5719593980006333,22.573351129343955,-0.17517745550185487,93.0,0.24662965973169543,0.05979400060244354,1.9234872350122738,0.49616197262099904,1.911582473107512,0.011904761904761904,-1.911582473107512
29,13.0,0.6921812616384866,60.0,11.0,True,22.0,0.06135730454913859,0.12907309985588272,0.0,False,4.661390944911199,1.3378190435622066,2.029614771054678,3.066483205158034,7.733646408150852,1.5709701304860506,0.46197155074154317,28.78852353260094,-0.24410004595547333,120.8,0.34249244193780237,0.09719134363961551,1.5856082682316133,0.4938367464834136,1.463386046009391,0.1222222222222222,-1.463386046009391
30,8.0,1.2654933359507983,39.0,30.0,False,15.0,0.04328498830384202,0.1451578037575547,0.06058508010897458,False,1.6924292906570488,0.693016735064022,1.7985668749154844,3.0295382918055496,4.5226874864472535,1.4248676617094884,0.4960291444897013,11.111723376150392,-0.19405264335998912,112.2,0.3130631073341804,0.07169827357396444,1.5325614981922024,0.48709530879864993,1.4444662600969644,0.0880952380952381,-1.4444662600969644
31,15.0,1.408012013534105,45.0,26.0,False,23.0,0.06663807393478542,0.11690683287085588,0.0,False,1.6632650134062785,0.6779963945907155,1.7891663969310763,2.908738166003742,4.146945544649697,1.4107501093924593,0.495468799280019,10.265610663476092,-0.19876301473205765,83.0,0.2943405782320073,0.07381961495055755,1.5119449443565502,0.4948830547727859,1.5119449443565502,0.0,-1.5119449443565502
32,10.0,0.9015773597127285,20.0,15.0,False,18.0,0.056923627752111586,0.09592498256768209,0.040342011388705634,False,1.3434102410666298,0.537785244199079,1.7806757812904386,2.741822909198024,3.0734176063441305,1.3895296005999773,0.5368200416435502,7.891292745454041,-0.200509640713684,154.0,0.23873595414405605,0.07901507212123174,1.5148119426435194,0.48904719371866784,1.2608436886752654,0.25396825396825395,-1.2608436886752654
33,12.0,1.9878411278546513,28.0,8.0,False,34.0,0.07140566420082994,0.10660931271494085,0.0,False,1.8805722622437728,0.7309077805762673,2.2871288028817025,3.415947966075553,5.127638762065042,1.533077843738734,0.5624380212509388,13.17928487626953,-0.17291507667743072,88.4,0.24177809344701054,0.06320964052040787,1.7486958532253816,0.4955004738925003,1.7486958532253816,0.0,-1.7486958532253816
