trial,long_only,long_window,short_window,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
24,True,100.0,6.0,0.04078413183852908,0.08408914282569006,0.0,0.3664427269791448,0.15675326589398125,0.5330226695378438,0.8510415834595918,0.568400243628614,1.1384896199666255,0.4325727657469128,1.3163865112564554,-0.31027992075079897,296.0,0.27807936369247627,0.15507107018264693,0.684915165583162,0.4789906169403217,-0.15310499337875338,0.8380201589619154,0.15310499337875338
25,True,45.0,16.0,0.06234054527591583,0.14266985687947042,0.05310602187528723,1.0652488765180161,0.4237241580317762,1.5232897610459828,2.3005454138849095,2.2738706915793463,1.3558392912600952,0.4799461372641794,5.756718053477937,-0.22642040855360399,171.8,0.2410254450582631,0.08823609498500562,1.3257441958014289,0.4826337014581491,1.0011410211982543,0.32460317460317467,-1.0011410211982543
26,True,40.0,5.0,0.06292003509885712,0.11683796131755776,0.05254974014607668,0.6166429524931918,0.27057066089285997,0.9761558725518851,1.310087382700365,0.9271209264138239,1.2269549970322102,0.505609090829252,2.0866349787167406,-0.3157937839442571,188.8,0.27128838769283037,0.1197965077798226,0.9774500274596027,0.4911569407386226,0.5537989675075964,0.42365105995200636,-0.5537989675075964
27,True,100.0,16.0,0.07202298230073474,0.14964662541768436,0.0,0.6002052985392654,0.23518981813079542,0.7810041049401446,1.0576727945916615,0.993020308089444,1.2048596345886409,0.3964240837892725,2.4858385511323235,-0.3200539508226389,245.8,0.2798060441787502,0.15548657643965538,0.8586509233274039,0.4826181398828459,0.20028905342815784,0.658361869899246,-0.20028905342815784
28,True,70.0,23.0,0.06112799268940552,0.11258258401633234,0.0,0.5453507585046873,0.23050246752347764,0.818902190098617,1.0632890853101111,1.1401857590846856,1.192482464198425,0.4159113277361155,2.6903867431325503,-0.249008493223364,246.6,0.2636382684043358,0.12219655530852658,0.901806184739008,0.48735325186095063,0.28037761331043654,0.6214285714285714,-0.28037761331043654
29,True,50.0,27.0,0.05177204993887907,0.1420088891451426,0.04116399315635337,0.5416015072719501,0.2295746685840021,0.8317687252614805,0.9917395605266315,0.8042906682154491,1.1987702857355667,0.46134748101280953,1.892276107076406,-0.3311976465377052,280.4,0.25346323156900397,0.1612726454189315,0.8590900485060902,0.49475003357965636,0.041139199875124266,0.8179508486309659,-0.041139199875124266
30,True,30.0,5.0,0.04710523711813973,0.12079961919420859,0.0,1.6712520680924494,0.5472499927626959,1.5905822502565699,1.9877644909275234,2.253438102107064,1.3909504093556584,0.5415810703019892,6.764937898670861,-0.2567981361836797,148.4,0.24306869311875054,0.10134828921875065,1.3990109326640954,0.49351105978604537,1.1672649009180636,0.23174603174603176,-1.1672649009180636
31,True,65.0,5.0,0.046867370243607376,0.12026946617138747,0.0,0.5127394879704352,0.21892916710956242,0.8433108529723633,1.1951373129603924,0.9428428570004822,1.189664010913592,0.4682383439276106,2.169570607018121,-0.29036193673589417,238.6,0.2601716706223429,0.13847183680220096,0.9202020596032476,0.47966924900694263,0.33051951992070794,0.5896825396825397,-0.33051951992070794
32,True,85.0,7.0,0.046875300980426624,0.07760198904304945,0.0,0.35214310393994713,0.14635890667492524,0.5093605645980123,0.72429938001935,0.5460018471075593,1.117528060048492,0.42763647855670417,1.2828714902996528,-0.27536140486358746,213.6,0.25713320778373266,0.12065309743173609,0.6530147272960282,0.47493624236804577,0.1625385368198377,0.49047619047619045,-0.1625385368198377
33,True,30.0,5.0,0.05504420530006469,0.10781509813192627,0.0,1.6712520680924494,0.5472499927626959,1.5905822502565699,1.9877644909275234,2.253438102107064,1.3909504093556584,0.5415810703019892,6.764937898670861,-0.2567981361836797,148.4,0.24306869311875054,0.10134828921875065,1.3990109326640954,0.49351105978604537,1.1672649009180636,0.23174603174603176,-1.1672649009180636
34,False,105.0,7.0,0.06956067863102781,0.10650137714165826,0.0,0.24487451362831095,0.09833386311340449,0.3671401931216451,0.7523331067805977,0.46253003181057456,1.0854978630985808,0.48376577518911523,1.1207698357676723,-0.2432992328004231,291.8,0.20775735947515353,0.13201385863582285,0.5943199902747746,0.48778755468006985,-0.20647366051887628,0.8007936507936508,0.20647366051887628
35,True,125.0,10.0,0.048549155032172935,0.09819452854142394,0.0,0.7394561601739661,0.2827963081979776,0.9081858589301456,1.3391298141281536,1.8691664562708077,1.263431469503874,0.4029471372238981,4.71355238864427,-0.3114783844371736,222.6,0.25972194678397015,0.14984990326777117,1.0224579137496876,0.4823708764285882,0.47331066868486416,0.5491472450648235,-0.47331066868486416
36,True,80.0,8.0,0.07427148147666383,0.12878429683752085,0.0,0.20986616928021545,0.09199585110827344,0.4042327639811515,0.5948786574856963,0.359871616609467,1.0929945942615824,0.4334026830480589,0.8055217299219255,-0.33686710176687357,318.0,0.2625031519393198,0.17647236662492743,0.5264414812879142,0.4703343233551328,-0.4520546270077377,0.9784961082956519,0.4520546270077377
37,False,45.0,20.0,0.04000974451338683,0.09104365504551387,0.0,0.09764644250168616,0.0444824644971429,0.25647362802685264,0.3925699684233783,0.2593874089573411,1.0523708366434374,0.49187406391212846,0.5530614293800101,-0.2606145751200339,349.6,0.1795652163686307,0.13952561013078743,0.3975357101674431,0.4901201486667507,-0.6326230199912872,1.0301587301587303,0.6326230199912872
38,True,115.0,6.0,0.05926904888797073,0.1353764753480517,0.0,0.6609104927195613,0.24794642658033203,0.7669973480133814,1.1443903621784224,1.1380197326401542,1.191860418559259,0.4276554786768404,2.9903078803029035,-0.2769517171347451,242.2,0.26915296730024274,0.13631713845760432,0.9135059718666291,0.4742629748296353,0.30953771789837514,0.6039682539682539,-0.30953771789837514
39,False,135.0,11.0,0.04364377566911311,0.11907556805045891,0.0,0.3973894046353209,0.1706503809068517,0.6752009202990739,1.2582457298038991,0.7273822949576128,1.144513218352394,0.4748481604738367,1.6614751059597492,-0.24980692549663921,223.4,0.2325986296945941,0.11928602668858099,0.8296304298301136,0.4832616786026339,0.3002653504650342,0.5293650793650794,-0.3002653504650342
40,True,60.0,9.0,0.08760770617432993,0.11340919286518128,0.0,0.7550583611727116,0.3163086244108971,1.1045498600743768,1.5726635936276823,1.2524268721754752,1.2568668514858825,0.45692564779633127,2.952082310236235,-0.24509799952995576,211.4,0.2608844969827236,0.10127830908600563,1.0595890013443585,0.48578405178908995,0.5778429695983267,0.48174603174603176,-0.5778429695983267
41,True,90.0,18.0,0.05584361442566356,0.1388713041788946,0.0,0.3267028304595081,0.14174163981150206,0.6336540399486535,0.9584597234289248,0.5907898135166751,1.1496348194515247,0.3941178679687302,1.359340725283015,-0.29370798874161225,259.8,0.25696958750607085,0.13429788899406836,0.7094762739100754,0.4793598606712407,0.035666750100551536,0.6738095238095239,-0.035666750100551536
42,False,50.0,12.0,0.07982656127138447,0.10271261255889848,0.0,0.39951105958577177,0.16903380712061453,0.7444763517083728,1.2634798691044202,1.1155613090857615,1.1637367316210132,0.5146106967832522,2.578687980529574,-0.1785951485746497,219.8,0.190039014253179,0.0834167248992402,0.9644112713174646,0.49218891517218566,0.4493319062380995,0.5150793650793651,-0.4493319062380995
43,True,165.0,6.0,0.04432044748642246,0.1308117806722917,0.0,0.26606958556640825,0.11995704039392226,0.5389316220568618,0.8770629966349951,0.47621444902124804,1.1323365185634606,0.39891609682378926,1.0448523003777113,-0.325236004063379,258.0,0.2835651544406351,0.16376094105633662,0.6354194380764299,0.47136662169986093,-0.08171923671699477,0.7171386747934246,0.08171923671699477
44,True,40.0,15.0,0.05416316597602934,0.12369953440138434,0.0,0.7243385405265194,0.30095682199899765,1.1061993976300455,1.4730725336859956,1.064355406568446,1.2426453797247656,0.49057201445537413,2.5190977613020125,-0.32314100499322196,208.2,0.25467675192585565,0.1504440649567397,1.0412103805711677,0.4851019346471762,0.5258807515371047,0.515329629034063,-0.5258807515371047
45,False,105.0,21.0,0.04943040255216804,0.11015707536568682,0.0,0.03463875236896789,0.012878903524348085,0.13258102140501093,0.2115100949003817,0.07809905554478239,1.0283806574069103,0.47165074568202703,0.1897763727815031,-0.25949670318843077,336.0,0.228824788724091,0.13344890154872832,0.17944358910604274,0.4886359815596317,-0.7967468870844334,0.9761904761904762,0.7967468870844334
46,True,180.0,8.0,0.06768646348991064,0.09063874328352821,0.0,0.333114440919285,0.11151521834802289,0.36560073165631185,0.5564615972896598,0.6608596186708764,1.117088181522451,0.3598497340639582,1.7390141063028643,-0.3828253797732276,232.4,0.2569942465413878,0.18778566963746146,0.5828278616971626,0.46465166916305084,-0.1479022629286577,0.7307301246258203,0.1479022629286577
47,True,150.0,10.0,0.04526676125424799,0.12770524688430607,0.0,0.35913861171825184,0.1554747858872963,0.5901005363623951,0.8242657745062569,0.6355782048231446,1.149140658748808,0.37412306127515627,1.4311715942767045,-0.2955951242845412,247.8,0.26293581882051137,0.14186824137910872,0.6878321064756837,0.4709643515070752,0.06164163028520753,0.6261904761904762,-0.06164163028520753
48,False,60.0,30.0,0.05958592608229803,0.1473838837067398,0.0,0.14674281572277084,0.06522010486863697,0.3350381510605004,0.556587026208273,0.27965703874211867,1.0699846316133825,0.5076761270355277,0.6252107860567846,-0.2557068517733009,317.6,0.20586481064241963,0.12493072027880955,0.4665259626772607,0.48858523574422763,-0.4366486404973426,0.9031746031746033,0.4366486404973426
49,True,75.0,14.0,0.0649530921543256,0.13875204276510059,0.0,0.2853065928615052,0.1310911282973135,0.5604847223131457,0.8894725215366283,0.5249607389070835,1.132273136434625,0.4196182508843176,1.1370606453643783,-0.30632987769939285,219.6,0.27462678463522183,0.1560427840172917,0.6697105539629331,0.47411397617597517,0.14276508427843315,0.5269454696845,-0.14276508427843315
